activity_index,br,hr,infrared_perf,sleep_classes,temp,time
107,,37.7481789498482,0,4,2730,1485379140
105,,37.7481789498482,0,4,2893,1485379150
139,,37.7481789498482,0,4,2942,1485379160
512,,37.7481789498482,0,4,2836,1485379170
20,,37.7481789498482,0,4,2645,1485379180
127,,37.7481789498482,0,4,2534,1485379730
110,,37.7481789498482,0,4,2742,1485379740
103,,37.7481789498482,0,4,2814,1485379750
112,,37.7481789498482,0,4,2844,1485379760
120,,37.7481789498482,0,4,2868,1485379770
166,,37.7481789498482,0,4,2884,1485379780
96,,37.7481789498482,0,4,2903,1485379790
11,,37.7481789498482,0,4,2912,1485379800
11,,37.7481789498482,31,4,2930,1485379810
163,,37.7481789498482,48,4,2933,1485379820
132,,37.7481789498482,89,4,2954,1485379830
32,,37.7481789498482,140,4,2973,1485379840
76,,37.7481789498482,156,4,2979,1485379850
31,,37.7481789498482,155,4,3000,1485379870
134,,37.7481789498482,2817,4,3001,1485379880
183,,37.7481789498482,2939,4,3004,1485379890
190,,37.7481789498482,2922,4,3014,1485379900
461,,40.7005954203631,2921,4,3018,1485379920
813,,45.5945876229477,2994,4,3023,1485379930
851,,49.3371462409907,3000,4,3024,1485379940
319,,51.716840782986,2978,4,3026,1485379950
126,,52.3002553529402,2961,4,3036,1485379960
150,,52.2074952566909,2893,4,3047,1485379970
87,0.647245379834584,52.3888513475702,2781,4,3047,1485379980
135,0.959622691660538,52.6115611620639,2715,4,3048,1485379990
34,1.53514325072167,52.912399611888,2710,4,3048,1485380000
40,2.14315300383451,53.1026559646759,2641,4,3048,1485380010
12,2.85658025703957,52.6285182426739,2521,4,3048,1485380020
39,3.73481993613492,51.1960208361123,2381,4,3048,1485380030
57,4.61305961523027,51.1128218510719,2266,4,3048,1485380040
66,5.6328535831813,53.2181961679106,2191,4,3055,1485380050
15,6.67012458080874,55.7264677838938,2124,4,3067,1485380060
11,7.70649356056957,57.3091085290195,2047,4,3071,1485380070
17,8.74145230526775,57.8074437495604,1960,4,3071,1485380080
12,9.86543603290847,59.0533696437194,1880,4,3071,1485380091
11,10.753899219415,61.7749885148034,1817,4,3071,1485380101
17,11.6157021460737,65.2735590952001,1738,4,3071,1485380111
15,12.3657390928273,66.5900069465204,1640,4,3071,1485380121
14,12.9669005802336,64.3230136108015,1547,4,3072,1485380131
30,13.5419145952519,61.4817143384383,1457,4,3071,1485380141
9,13.8783730871431,60.9931693378084,1376,4,3071,1485380151
10,14.1770767504363,62.4231522526902,1309,4,3072,1485380161
11,14.383874637129,63.8669698361671,1245,4,3072,1485380171
16,14.4682516283376,63.4117525333235,1178,4,3073,1485380181
12,14.545375409776,61.467094609917,1114,4,3073,1485380191
12,14.5563247973285,60.1961558503295,1054,4,3072,1485380201
11,14.5592427489411,60.1265610352998,997,4,3074,1485380211
10,14.5624577189436,59.8583787390491,943,4,3074,1485380221
13,14.5660683245256,60.2287706823189,891,4,3075,1485380231
11,14.5695793912479,61.6754029630396,843,4,3074,1485380241
13,14.5721823188864,62.7874227108238,797,4,3077,1485380251
11,14.5746406833732,63.9847150043577,755,4,3077,1485380261
11,14.5767403246566,64.512690531444,716,4,3075,1485380271
12,14.578362138893,64.1024767221027,679,4,3075,1485380281
14,14.5801380998208,63.5418891160617,644,4,3076,1485380291
12,14.5836557716641,62.823558961427,609,4,3076,1485380302
11,14.5874127090043,62.676955876518,578,4,3075,1485380312
12,14.5934136092129,63.131264286785,549,4,3076,1485380322
11,14.6019368681481,63.099933705852,522,4,3078,1485380332
12,14.6115769442485,62.5298801464524,496,4,3076,1485380342
17,14.6258221730401,61.914914248719,471,4,3074,1485380352
23,14.6410121024947,61.3730551672407,461,4,3075,1485380362
14,14.6583893650309,62.0021931554878,453,4,3073,1485380372
13,14.6782253272246,63.3428771848454,456,4,3075,1485380382
16,14.6984538226816,63.5817600596632,453,4,3078,1485380392
10,14.720300913739,62.8873281700736,442,4,3076,1485380402
11,14.7422921871712,62.8244372352742,424,4,3076,1485380412
11,14.7640071386567,64.5734714474303,405,4,3074,1485380422
10,14.7854114873803,67.5284530167693,385,4,3074,1485380432
11,14.8062942877652,68.798872296813,366,4,3074,1485380442
12,14.825026504232,67.1764364098077,347,4,3072,1485380452
13,14.843112194101,64.4697152622155,331,4,3072,1485380462
12,14.8590339207088,61.8299723210654,314,4,3072,1485380472
30,14.8725232238137,59.5947752067734,299,4,3072,1485380482
65,14.8859039433946,58.4121844625213,286,4,3071,1485380493
53,14.8943549226976,58.8263475099384,274,4,3071,1485380503
70,14.9019352534225,59.9895178751231,261,4,3071,1485380513
53,14.9077590234047,59.6777918259531,247,4,3071,1485380523
56,14.9119383897178,56.0032637383961,236,4,3071,1485380533
